form,lemma,pos,morph
Etsi,etsivs,NOM2,Case=Gen|Numb=Sing
catholica,catholicvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fides,fides,NOM5,Case=Nom|Numb=Sing
dati,do,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
per,per,PRE,MORPH=empty
deum,devs,NOM2,Case=Acc|Numb=Sing
symboli,symbolvs,NOM2,Case=Gen|Numb=Sing
iter,iter,NOM3,Case=Acc|Numb=Sing
possidens,possideo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
,,PRE,MORPH=empty
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
credendi,credo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
gloriam,gloria,NOM1,Case=Acc|Numb=Sing
potius,potivs,ADV,Deg=Comp
expetit,expeto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quam,qvam,ADVrel,MORPH=empty
loquendi,loqvor,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep
quoniam,qvoniam,CONsub,MORPH=empty
quae,qvi,PROrel,Case=Nom|Numb=Plur
ueritate,veritas,NOM3,Case=Abl|Numb=Sing
sui,svi,PROref,Case=Gen|Numb=Sing
enixa,enitor,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
interpraetandi,interpraetor,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
ingenium,ingenivm,NOM2,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
requirunt,reqviro,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dicente,dico,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
apostolo,apostolvs,NOM2,Case=Abl|Numb=Sing
contentiones,contentio,NOM3,Case=Acc|Numb=Plur
legis,lex,NOM3,Case=Gen|Numb=Sing
deuita,devitvs,ADJqua,Case=Abl|Numb=Sing
tamen,tamen,ADV,Deg=Pos
temporis,tempvs,NOM3,Case=Gen|Numb=Sing
necessitate,necessitas,NOM3,Case=Abl|Numb=Sing
cogente,cogo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quam,qvi,PROrel,Case=Acc
nobis,nos,PROper,Case=Dat|Numb=Plur
inrogata,irrogo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
per,per,PRE,MORPH=empty
Hydatium,hydativs,NOM2,Case=Acc|Numb=Sing
episcopum,episcopvs,NOM2,Case=Acc|Numb=Plur
