form,lemma,pos,morph
Credebam,credo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1
uitiis,vitivm,NOM2,Case=Abl|Numb=Plur
aegram,aeger,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
gentilibus,gentilis,NOM3,Case=Abl|Numb=Plur
urbem,vrbs,NOM3,Case=Acc|Numb=Sing
iam,iam,ADV,Deg=Pos
satis,satis,ADV,Deg=Pos
antiqui,antiqvvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
pepulisse,pello,VER,Mood=Inf|Tense=Perf|Voice=Act
pericula,pericvlvm,NOM2,Case=Acc|Numb=Plur
morbi,morbvs,NOM2,Case=Gen|Numb=Sing
nec,nec,CONcoo,MORPH=empty
quidquam,qvisqvam,PROind,Case=Acc|Numb=Sing
restare,resto,VER,Mood=Inf|Tense=Pres|Voice=Act
mali,malvm,NOM2,Case=Gen|Numb=Sing
postquam,postqvam,CONsub,MORPH=empty
medicina,medicina,NOM1,Case=Abl|Numb=Sing
principis,princeps,NOM3,Case=Gen|Numb=Sing
inmodicos,immodicvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
sedarat,sedo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
in,in,PRE,MORPH=empty
arce,arx,NOM3,Case=Abl|Numb=Sing
dolores,dolor,NOM3,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
quoniam,qvoniam,CONsub,MORPH=empty
renouata,renovo,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass|Person=3
lues,lves,NOM3,Case=Nom|Numb=Sing
turbare,tvrbo,VER,Mood=Inf|Tense=Pres|Voice=Act
salutem,salvs,NOM3,Case=Acc|Numb=Sing
temptat,tento,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Romulidum,romvlidae,NOM2,Case=Gen|Numb=Sing
patris,pater,NOM3,Case=Gen|Numb=Sing
inploranda,imploro,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
medella,medella,NOM1,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ne,ne,CONsub,MORPH=empty
sinat,sino,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
antiquo,antiqvvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Romam,roma,NOM1,Case=Acc|Numb=Sing
squalere,sqvaleo,VER,Mood=Inf|Tense=Pres|Voice=Act
ueterno,veternvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
neue,neve,CONcoo,MORPH=empty
togas,toga,NOM1,Case=Acc|Numb=Plur
procerum,procer,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
fumo,fvmvs,NOM2,Case=Abl|Numb=Sing
-que,qvisqve,CONcoo,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
sanguine,sangvis,NOM3,Case=Abl|Numb=Sing
tingui,tingo,VER,Mood=Inf|Tense=Pres|Voice=Pass
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
inclitus,inclvtvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ergo,ergo,CONcoo,MORPH=empty
parens,parens,NOM3,Case=Nom|Numb=Sing
patriae,patria,NOM1,Case=Gen|Numb=Sing
moderator,moderator,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
orbis,orbis,NOM3,Case=Nom|Numb=Sing
nil,nihil,PROind,Case=Ind
egit,ago,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
prohibendo,prohibeo,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
uagas,vagvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ne,ne,CONsub,MORPH=empty
pristinus,pristinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
error,error,NOM3,Case=Nom|Numb=Sing
crederet,credo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
deum,devs,NOM2,Case=Gen|Numb=Sing
nigrante,nigro,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
sub,svb,PRE,MORPH=empty
aere,aes,NOM3,Case=Abl|Numb=Sing
formas,forma,NOM1,Case=Acc|Numb=Plur
aut,avt,CONcoo,MORPH=empty
elementorum,elementa,NOM2,Case=Gen|Numb=Plur
naturam,natvra,NOM1,Case=Acc|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
Patris,pater,NOM3,Case=Gen|Numb=Sing
ars,ars,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
omnigeni,omnigenvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
summa,svpervs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
pro,pro,PRE,MORPH=empty
