form,lemma,pos,morph
Primogenitum,primogenitae,NOM2,Case=Acc|Numb=Sing
protoplastum,protoplastvs,ADJqua,Numb=Sing|Deg=Pos
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Protos,proti,NOM7,Case=Acc|Numb=Plur
graece,graece,ADV,Deg=Pos
primus,primvs,ADJord,Case=Nom|Numb=Sing|Deg=Sup
plastus,plavstvs,NOM4,Case=Nom|Numb=Sing
formatus,formo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass|Person=3
inde,inde,ADV,Deg=Pos
protoplastus,protoplastvs,ADJqua,Case=Nom|Numb=Sing|Voice=Pass
primus,primvs,ADJord,Case=Nom|Numb=Sing|Deg=Sup
formatus,formo,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Sing
De,decenti,NOM2,Case=Abl|Numb=Sing
sede,sedes,NOM3,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
paradyso,paradysvm,NOM2,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Abl|Numb=Plur
Paradysus,paradysvs,NOM2,Case=Nom|Numb=Sing
interpretatur,interpretor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
hortus,hortvs,NOM2,Case=Nom|Numb=Sing
deliciarum,delicia,NOM1,Case=Gen|Numb=Plur
Adam,ada,NOM1,Case=Acc|Numb=Sing
terrenus,terrenvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
homo,homo,NOM3,Case=Nom|Numb=Sing
uel,vel,CONcoo,MORPH=empty
terra,terra,NOM1,Case=Abl|Numb=Sing
rubra,rvber,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
Illecebris,illecebra,NOM1,Case=Gen|Numb=Plur
uoluptatibus,volvptas,NOM3,Case=Abl|Numb=Plur
.,vnvs,ADJcar,Case=Ind|Numb=Plur
Illecebrae,illecebra,NOM1,Case=Nom|Numb=Sing
dicuntur,dico,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ab,ab,PRE,MORPH=empty
illiciendo,illicio,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Act
decipiendo,decipio,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Act
.,pes,ADJcar,Case=Acc|Numb=Sing
Heu,hevs,NOM2,Case=Nom|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Dolet,dolet,NOM7,Case=Voc|Numb=Sing
poeta,poeta,NOM1,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
culpa,cvlpa,NOM1,Case=Abl|Numb=Sing
mulieris,mvlier,NOM3,Case=Gen|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Sing
Noxia,noxia,NOM1,Case=Nom|Numb=Sing
culpabilis,cvlpabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Interrogationem,interrogatio,NOM3,Case=Acc|Numb=Sing
facit,facio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
mulierem.s,mvlier,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
o,o,INJ,MORPH=empty
coniunx,conivx,NOM3,Case=Voc|Numb=Sing
fuistine,fvistine,VER,Case=Abl|Numb=Sing|Mood=Imp|Voice=Act
magis,magis,ADV,Deg=Comp
noxia,noxivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
an,an,ADVint,MORPH=empty
perfidus,perfidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ille,ille,PROdem,Case=Nom|Numb=Sing
draco,draco,NOM3,Case=Nom|Numb=Sing
Modo,modvs,NOM2,Case=Abl|Numb=Sing
