form,lemma,pos,morph
Equum,eqvvs,NOM2,Case=Acc|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
per,per,PRE,MORPH=empty
fratrem,frater,NOM3,Case=Acc|Numb=Sing
nostrum,noster,PROpos,Case=Acc|Numb=Sing
presbyterum,presbyter,NOM2,Case=Acc|Numb=Sing
transmisistis,transmitto,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
accepi,accipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
magnificis,magnificvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uerborum,verbvm,NOM2,Case=Gen|Numb=Plur
uestrorum,vester,PROpos,Case=Gen|Numb=Plur
phaleris,phalerae,NOM2,Case=Abl|Numb=Plur
oneratum,onero,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
uita,vita,NOM1,Case=Abl|Numb=Sing
uilem,vilis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
epistula,epistola,NOM1,Case=Abl|Numb=Sing
pretiosum,pretiosvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
mouentem,moveo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
se,svi,PROref,Case=Acc|Numb=Sing
cum,cvm,CONsub,MORPH=empty
foditur,fodio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
calcaribus,calcar,NOM3,Case=Abl|Numb=Plur
aut,avt,CONcoo,MORPH=empty
urgetur,vrgeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
uerberibus,verber,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
nihil,nihil,PROind,Case=Ind
penitus,penitvs,ADV,Deg=Pos
promouentem,promoveo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
forma,forma,NOM1,Case=Abl|Numb=Sing
deterrimum,deterior,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
colore,color,NOM3,Case=Abl|Numb=Sing
uilissimum,vilis,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
molliorem,mollis,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
plumis,plvma,NOM1,Case=Abl|Numb=Plur
statuis,statva,NOM1,Case=Abl|Numb=Plur
pigriorem,piger,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
solida,solidvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
