form,lemma,pos,morph
Paschales,paschales,NOM7,Case=Nom|Numb=Sing
quicumque,qvicvmqve,PROrel,Case=Nom|Numb=Sing
dapes,daps,NOM3,Case=Acc|Numb=Plur
conuiua,conviva,NOM1,Case=Abl|Numb=Sing
requiris,reqviro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Dignatus,dignatvs,NOM2,Case=Nom|Numb=Sing
nostris,noster,PROpos,Case=Dat|Numb=Plur
accubitare,accvmito,VER,Mood=Inf|Tense=Pres|Voice=Act
toris,torvs,NOM2,Case=Abl|Numb=Plur
Pone,ponvs,NOM2,Case=Voc|Numb=Sing
supercilium,svpercilivm,NOM2,Case=Acc|Numb=Sing
si,si,CONsub,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
cognoscis,cognosco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
amicum,amicvs,NOM2,Case=Acc|Numb=Sing
Nec,nec,NOM7,Case=Nom|Numb=Sing
quaeras,qvaero,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
opus,opvs,NOM3,Case=Acc|Numb=Sing
hic,hic,PROdem,Case=Nom|Numb=Sing
codicis,cavdex,NOM3,Case=Gen|Numb=Sing
artificis,artifex,NOM3,Case=Gen|Numb=Sing
Sed,sedes,NOM3,Case=Acc|Numb=Sing
modicae,modicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
contentus,contentvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
adi,adeo,VER,Numb=Sing|Mood=Inf|Tense=Pres|Voice=Act
sollemnia,sollemne,NOM3,Case=Acc|Numb=Plur
mensae,mensa,NOM1,Case=Gen|Numb=Sing
Plus,plvs,NOM3,Case=Nom|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
libens,libens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
animo,animvs,NOM2,Case=Abl|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
satiare,satio,VER,Mood=Inf|Tense=Pres|Voice=Act
cibo,cibvs,NOM2,Case=Abl|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Aut,avt,NOM2,Numb=Sing
si,si,CONsub,MORPH=empty
magnarum,magnvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
caperis,capio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
dulcedine,dvlcedo,NOM3,Case=Abl|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
Diuitias,divitiae,NOM1,Case=Acc|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
magis,magis,ADV,Deg=Comp
deliciosus,deliciosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
amas,amo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Nobilium,nobilivs,NOM2,Case=Acc|Numb=Sing
nitidis,nitidvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
doctorum,doctvs,ADJqua,Case=Gen|Numb=Plur
uescere,vescir,VER,Mood=Inf|Tense=Pres|Voice=Act
