form,lemma,pos,morph
S,sestertivs,ADJcar,Case=Ind|Numb=Plur
edulius,edvle,ADV,Deg=Comp
Domini,dominvs,NOM2,Case=Gen|Numb=Sing
per,per,PRE,MORPH=empty
culta,cvltvs,NOM2,Case=Acc|Numb=Plur
noualia,novale,NOM3,Case=Acc|Numb=Plur
perge,pergo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
-ne,one,CONsub,MORPH=empty
S,sestertivs,ADJcar,Case=Ind|Numb=Plur
E,eqeo,ADJcar,Case=Ind|Numb=Sing
n,ne,ADVneg,MORPH=empty
loca,locvs,NOM2,Case=Acc|Numb=Plur
prospexit,prospicio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
multo,mvltvs,ADV,Deg=Pos
radiantia,radio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
flor,flor,NOM3,Case=Nom|Numb=Sing
E,eqva,ADJcar,Case=Ind|Numb=Sing
D,qvingenti,ADJcar,Case=Acc|Numb=Plur
iscurrit,iscvrro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
per,per,PRE,MORPH=empty
prata,pratvm,NOM2,Case=Acc|Numb=Plur
libens,libens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quo,qvi,PROrel,Case=Abl|Numb=Sing
gramine,gramen,NOM3,Case=Abl|Numb=Sing
Daui,davvs,NOM2,Case=Gen|Numb=Sing
D,qvingenti,ADJcar,Case=Nom|Numb=Plur
V,qvinqve,ADJcar,Case=Ind
idit,ido,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
diuino,divinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
modulantem,modvlor,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
carmina,carmen,NOM3,Case=Acc|Numb=Plur
cant,canto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
V.,sextvs,NOM2,Case=Dat|Numb=Sing
L,qvinqvaginta,ADJcar,Case=Ind
audabili,avdabilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
psallente,psallo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
uiro,vir,NOM2,Case=Abl|Numb=Sing
refluit,reflvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cythara,cythara,NOM1,Case=Abl|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
L.,lvcivs,NOM2,Case=Abl|Numb=Sing
I,vnvs,ADJcar,Case=Acc|Numb=Sing
lle,lleo,PROdem,Case=Nom|Numb=Sing
ubi,vbi,ADVrel,MORPH=empty
grandisoni,grandison,ADJqua,Case=Dat|Numb=Sing
captus,capio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
dulcedine,dvlcedo,NOM3,Case=Abl|Numb=Sing
plectr,plectrvm,VER,Case=Nom|Numb=Sing
I,vnvs,ADJcar,Case=Abl|Numb=Sing
V,qvinqve,ADJcar,Case=Ind
ritur,ritvr,VER,Numb=Sing|Voice=Dep
et,et,CONcoo,MORPH=empty
celeri,celer,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
graditur,gradior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
per,per,PRE,MORPH=empty
lilia,lilivm,NOM2,Case=Acc|Numb=Plur
pass,pass,NOM3,Case=Nom|Numb=Sing
V,qvinqve,ADJcar,Case=Ind
S,sestertivs,ADJcar,Case=Ind|Numb=Plur
acratos,acratvs,VER,Case=Acc|Numb=Plur|Deg=Pos|Mood=Par|Tense=Perf|Voice=Pass
-que,qvovs,CONcoo,MORPH=empty
