form,lemma,pos,morph
Castrorum,castri,NOM2,Case=Gen|Numb=Plur
autem,avtem,CONcoo,MORPH=empty
diuersa,diversvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
triplex,triplex,ADJmul,Case=Nom|Numb=Sing|Deg=Pos
-que,qvovs,CONcoo,MORPH=empty
munitio,mvnitio,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Nam,nam,NOM1,MORPH=empty
si,si,CONsub,MORPH=empty
nimia,nimivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
necessitas,necessitas,NOM3,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
premit,premo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
caespites,caespes,NOM3,Case=Nom|Numb=Plur
circumciduntur,circvmcido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
e,ex,PRE,MORPH=empty
terra,terra,NOM1,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
his,hic,PROdem,Case=Abl|Numb=Plur
uelut,velvt,ADVrel,MORPH=empty
murus,mvrvs,NOM2,Case=Nom|Numb=Sing
instruitur,instrvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
altus,altvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
tribus,tres,ADJcar,Case=Abl|Numb=Plur
pedibus,pes,NOM3,Case=Abl|Numb=Plur
supra,svpra,PRE,MORPH=empty
terram,terra,NOM1,Case=Acc|Numb=Sing
ita,ita,ADV,Deg=Pos
ut,vt,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
ante,ante,ADV,Deg=Pos
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
fossa,fossa,NOM1,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
leuati,levatvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
caespites,caespes,NOM3,Case=Nom|Numb=Plur
;,o,PRE,MORPH=empty
deinde,deinde,ADV,Deg=Pos
tumultuaria,tvmvltvarivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fossa,fossa,NOM1,Case=Abl|Numb=Sing
fit,fio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
lata,latvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
pedes,pes,NOM3,Case=Acc|Numb=Plur
nouem,novem,ADJcar,Case=Ind
alta,altvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
pedes,pes,NOM3,Case=Acc|Numb=Plur
septem,septem,ADJcar,Case=Ind
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sed,sedes,NOM7,Numb=Sing
ubi,vbi,CONsub,MORPH=empty
uis,vis,NOM3,Case=Nom|Numb=Sing
acrior,acer,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
imminet,immineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hostium,hostis,NOM3,Case=Gen|Numb=Plur
tunc,tvnc,ADV,Deg=Pos
legitima,legitimvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fossa,fossa,NOM1,Case=Abl|Numb=Sing
ambitum,ambitvs,NOM4,Case=Acc|Numb=Sing
conuenit,convenio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
munire,mvnio,VER,Mood=Inf|Tense=Pres|Voice=Act
castrorum,castra,NOM2,Case=Gen|Numb=Plur
ita,ita,ADV,Deg=Pos
ut,vt,CONsub,MORPH=empty
duodecim,dvodecim,ADJcar,Case=Ind
pedes,pes,NOM3,Case=Nom|Numb=Sing
lata,latvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
alta,altvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sub,svb,PRE,MORPH=empty
linea,linea,NOM1,Case=Abl|Numb=Sing
sicut,sicvt,ADVrel,MORPH=empty
appellant,appello,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pedes,pes,NOM3,Case=Acc|Numb=Plur
nouem,novem,ADJcar,Case=Ind
;,o,PRE,MORPH=empty
supra,svpra,PRE,MORPH=empty
autem,avtem,CONcoo,MORPH=empty
saepibus,saepes,NOM3,Case=Abl|Numb=Plur
hinc,hinc,ADV,Deg=Pos
inde,inde,ADV,Deg=Pos
factis,factvm,NOM2,Case=Abl|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
fossa,fossa,NOM1,Case=Abl|Numb=Sing
egesta,egero,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
terra,terra,NOM1,Case=Nom|Numb=Sing
congeritur,congero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
crescit,cresco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
altum,altvm,NOM2,Case=Acc|Numb=Sing
quattuor,qvatvor,ADJcar,Case=Ind
pedes,pes,NOM3,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Sic,sic,ADV,Deg=Pos
fit,fio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
tredecim,tredex,ADJcar,Case=Ind
pedibus,pes,NOM3,Case=Abl|Numb=Plur
alta,altvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
duodecim,dvodecim,ADJcar,Case=Ind
lata,fero,ADJqua,Case=Nom|Numb=Plur|Tense=Perf|Voice=Pass
;,o,PRE,MORPH=empty
supra,svpra,ADV,MORPH=empty
quam,qvi,PROrel,Case=Acc|Numb=Sing
sudes,svdis,NOM3,Case=Nom|Numb=Plur
de,de,PRE,MORPH=empty
lignis,lignvm,NOM2,Case=Abl|Numb=Plur
fortissimis,fortis,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
quas,qvi,PROrel,Case=Acc|Numb=Plur
milites,miles,NOM3,Case=Nom|Numb=Plur
portare,porto,VER,Mood=Inf|Tense=Pres|Voice=Act
consueuerant,consvesco,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
praefiguntur,praefigo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Ad,ad,NOM7,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
opus,opvs,NOM3,Case=Ind
ligones,ligo,NOM3,Case=Acc|Numb=Plur
rastra,rastrvm,NOM2,Case=Acc|Numb=Plur
qualos,qvalvs,NOM2,Case=Acc|Numb=Plur
alia,alivs,PROind,Case=Acc|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
utensilium,vtensilia,NOM3,Case=Gen|Numb=Plur
genera,genvs,NOM3,Case=Acc|Numb=Plur
habere,habeo,VER,Mood=Inf|Tense=Pres|Voice=Act
conuenit,convenio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
semper,semper,ADV,Deg=Pos
in,in,PRE,MORPH=empty
promptu,promptvs,NOM4,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
