form,lemma,pos,morph
Quisquis,qvisqvis,PROind,Case=Nom|Numb=Sing
hos,hic,PROdem,Case=Acc|Numb=Plur
artis,ars,NOM3,Case=Acc|Numb=Plur
bellicae,bellicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
commentarios,commentarivs,NOM2,Case=Acc|Numb=Plur
ex,ex,PRE,MORPH=empty
probatissimis,probatvs,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
auctoribus,avctor,NOM3,Case=Abl|Numb=Plur
breuiatos,brevio,ADJqua,Case=Acc|Numb=Plur|Deg=Pos|Tense=Perf|Voice=Pass
legere,lego,VER,Mood=Inf|Tense=Pres|Voice=Act
dignabitur,dignor,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
quam,qvam,PROrel,MORPH=empty
primum,primvm,ADJadv.ord,Deg=Sup
rationem,ratio,NOM3,Case=Acc|Numb=Sing
proelii,proelivm,NOM2,Case=Gen|Numb=Sing
depugnandi,depvgno,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
-que,qvove,CONcoo,MORPH=empty
cupit,cvpio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
audire,avdio,VER,Mood=Inf|Tense=Pres|Voice=Act
praecepta,praeceptvm,NOM2,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sed,sedes,CONcoo,Case=Nom|Numb=Sing
conflictus,conflictvs,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
publicus,pvblicvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
duarum,dvo,ADJcar,Case=Gen|Numb=Plur
aut,avt,CONcoo,MORPH=empty
trium,tres,ADJcar,Case=Gen|Numb=Plur
horarum,hora,NOM1,Case=Gen|Numb=Plur
certamine,certamen,NOM3,Case=Abl|Numb=Sing
definitur,definio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
post,post,PRE,MORPH=empty
quem,qvi,PROrel,Case=Acc|Numb=Sing
partis,pars,NOM3,Case=Acc|Numb=Plur
eius,is,PROdem,Case=Gen|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
superata,svpero,ADJqua,Case=Nom|Numb=Sing
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
spes,spes,NOM5,Case=Nom|Numb=Sing
omnes,omnis,PROind,Case=Nom|Numb=Plur
intercidunt,intercido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Ideo,ideo,NOM2,Case=Abl|Numb=Sing
omnia,omnis,PROind,Case=Nom|Numb=Plur
ante,ante,PRE,Deg=Pos
cogitanda,cogito,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
ante,ante,PRE,MORPH=empty
temptanda,tento,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Pass
ante,ante,PRE,MORPH=empty
facienda,facio,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quam,qvam,ADVint,MORPH=empty
ad,ad,PRE,MORPH=empty
ultimum,vltimvm,NOM2,Case=Acc|Numb=Sing
ueniatur,venio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
abruptum,abrvptvs,VER,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Nom|Numb=Plur
Boni,boni,NOM2,Case=Nom|Numb=Plur
enim,enim,CONcoo,MORPH=empty
duces,dvx,NOM3,Case=Nom|Numb=Plur
non,non,ADVneg,MORPH=empty
aperto,aperio,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
proelio,proelivm,NOM2,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
commune,commvnis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
periculum,pericvlvm,NOM2,Case=Nom|Numb=Sing
sed,sed,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
occulto,occvltvm,NOM2,Case=Abl|Numb=Sing
semper,semper,ADV,Deg=Pos
attemptant,attento,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,ADVrel,MORPH=empty
integris,integer,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
quantum,qvantvm,ADVrel,MORPH=empty
possunt,possvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hostes,hostis,NOM3,Case=Nom|Numb=Plur
interimant,interimo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uel,vel,CONcoo,MORPH=empty
certe,certe,ADV,Deg=Pos
terreant,terreo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
in,in,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
parte,pars,NOM3,Case=Abl|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Plur
necessaria,necessarivs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
admodum,admodvm,ADV,Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ab,ab,PRE,MORPH=empty
antiquis,antiqvi,NOM2,Case=Abl|Numb=Plur
reperta,reperio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
perscribam,perscribo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
Praecipua,praecipvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ars,ars,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
utilitas,vtilitas,NOM3,Case=Nom|Numb=Sing
ducis,dvx,NOM3,Case=Gen|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
adhibitis,adhibeo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
ex,ex,PRE,MORPH=empty
uniuerso,vniversvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
exercitu,exercitvs,NOM4,Case=Abl|Numb=Sing
scientibus,sciens,VER,Case=Abl|Numb=Plur
belli,bellvm,NOM2,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
sapientibus,sapiens,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uiris,vir,NOM2,Case=Abl|Numb=Plur
de,de,PRE,MORPH=empty
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
hostium,hostis,NOM3,Case=Gen|Numb=Plur
copiis,copia,NOM1,Case=Abl|Numb=Plur
saepius,saepe,ADV,Deg=Comp
