form,lemma,pos,morph
Solemnis,solennis,NOM3,Case=Nom|Numb=Sing
excusatio,excvsatio,NOM3,Case=Nom|Numb=Sing
negligentium,negligens,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dispendia,dispendivm,NOM2,Case=Acc|Numb=Plur
ex,ex,PRE,MORPH=empty
dissimulatione,dissimvlatio,NOM3,Case=Abl|Numb=Sing
uenientia,venio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
deo,devs,NOM2,Case=Dat|Numb=Sing
imputare,impvto,VER,Mood=Inf|Tense=Pres|Voice=Act
uel,vel,CONcoo,MORPH=empty
casibus,casvs,NOM4,Case=Abl|Numb=Plur
minus,parvm,ADV,Case=Acc|Deg=Comp
namque,namqve,CONcoo,MORPH=empty
peccare,pecco,VER,Mood=Inf|Tense=Pres|Voice=Act
se,svi,PROref,Case=Acc|Numb=Sing
credit,credo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ignauia,ignavia,NOM1,Case=Nom|Numb=Sing
si,si,CONsub,MORPH=empty
id,is,PROdem,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
ipsius,ipse,PROdem,Case=Gen|Numb=Sing
culpa,cvlpa,NOM1,Case=Nom|Numb=Sing
accidit,accido,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
potestatem,potestas,NOM3,Case=Acc|Numb=Sing
incipiat,incipio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
deferre,defero,VER,Mood=Inf|Tense=Pres|Voice=Act
fortunae,fortvna,NOM1,Case=Gen|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Sic,sic,ADV,Deg=Pos
de,de,PRE,MORPH=empty
aegrotantibus,aegroto,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
dicitur,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
morituros,morior,VER,Case=Acc|Numb=Plur|Mood=Inf|Tense=Fut|Voice=Dep
frustra,frvstra,ADV,Deg=Pos
curari,cvro,VER,Mood=Inf|Tense=Pres|Voice=Pass
uicturos,vivo,VER,Case=Acc|Numb=Plur|Mood=Inf|Tense=Fut|Voice=Act
etiam,etiam,ADV,Deg=Pos
si,si,CONsub,MORPH=empty
medicina,medicina,NOM1,Case=Nom|Numb=Sing
cesset,cesso,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
euasuros,evado,VER,Case=Acc|Numb=Plur|Mood=Inf|Tense=Fut|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Cui,cvivs,NOM2,Case=Gen|Numb=Sing
disputationi,dispvtatio,NOM3,Case=Dat|Numb=Sing
quia,qvia,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
iners,iners,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sed,sed,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
impia,impivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
non,non,ADVneg,MORPH=empty
libenter,libenter,ADV,Deg=Pos
assenserim,assentio,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Malo,malvs,NOM2,Case=Dat|Numb=Sing
enim,enim,CONcoo,MORPH=empty
nihil,nihil,PROind,Case=Ind
inexpertum,inexpertvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
relinqui,relinqvo,VER,Mood=Inf|Tense=Pres|Voice=Pass
quam,qvam,ADVrel,MORPH=empty
si,si,CONsub,MORPH=empty
quid,qvis,PROind,Case=Nom|Numb=Sing
calamitatis,calamitas,NOM3,Case=Gen|Numb=Sing
euenerit,evenio,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
auaritiae,avaritia,NOM1,Case=Gen|Numb=Sing
uel,vel,CONcoo,MORPH=empty
dissimulationibus,dissimvlatio,NOM3,Case=Dat|Numb=Plur
imputari,impvto,VER,Mood=Inf|Tense=Pres|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Sed,sede,NOM7,Numb=Sing
fortasse,fortasse,ADV,Deg=Pos
aliquando,aliqvando,ADV,Deg=Pos
uera,vervs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
illa,ille,PROdem,Case=Nom|Numb=Plur
uideantur,video,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
in,in,PRE,MORPH=empty
homine,homo,NOM3,Case=Abl|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
diuina,divinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
prouidentia,providentia,NOM1,Case=Abl|Numb=Sing
ac,ac,CONcoo,MORPH=empty
dispositione,dispositio,NOM3,Case=Abl|Numb=Sing
fatorum,fatvm,NOM2,Case=Gen|Numb=Plur
creditur,credo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
regi,rex,NOM3,Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Animalia,animal,NOM1,Case=Nom|Numb=Sing
uero,vero,CONcoo,MORPH=empty
cum,cvm,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
diuinitas,divinitas,NOM3,Case=Nom|Numb=Sing
nihil,nihil,PROind,Case=Ind
dignatur,dignor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
habere,habeo,VER,Mood=Inf|Tense=Pres|Voice=Act
commune,commvnis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
nisi,nisi,CONsub,MORPH=empty
hominum,homo,NOM3,Case=Gen|Numb=Plur
studio,stvdivm,NOM2,Case=Abl|Numb=Sing
impensis,impensa,NOM2,Case=Abl|Numb=Plur
-que,qvovs,CONcoo,MORPH=empty
