form,lemma,pos,morph
crocu,crocvs,NOM4,Case=Abl|Numb=Sing
piper,piper,NOM3,Case=Nom|Numb=Sing
zingiber,zingiber,NOM3,Case=Nom|Numb=Sing
lasar,laso,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
foliu,folivm,NOM2,Case=Abl|Numb=Sing
baca,bacca,NOM1,Case=Abl|Numb=Sing
murte,mvrtis,NOM3,Case=Abl|Numb=Sing
costu,costvs,NOM4,Case=Abl|Numb=Sing
cariofilu,cariofilvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
spica,spica,ADJqua,Case=Abl|Numb=Sing
Indica,indicvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
addena,addena,NOM2,Case=Nom|Numb=Plur
cardamomu,cardamomvs,NOM2,Case=Abl|Numb=Sing
spica,spica,NOM1,Case=Nom|Numb=Sing
nardi,nardvs,NOM2,Case=Gen|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Gen|Numb=Plur
