,Name,WordSet,Window,Cooc min,Clusters,Similar Clusters,Similar Clusters %,Lengths cluster
398,Small passages,Carmen et al.,10,10,3,0,0.0,[]
386,Small passages,Carmen et al.,10,1,3,0,0.0,[]
392,Small passages,Carmen et al.,10,5,3,0,0.0,[]
125,Martial et priapea,Carmen et al.,10,20,4,0,0.0,[]
393,Small passages,Carmen et al.,10,5,4,0,0.0,[]
119,Martial et priapea,Carmen et al.,10,10,3,0,0.0,[]
237,Martial et priapea,4 Fields,15,20,4,0,0.0,[]
404,Small passages,Carmen et al.,10,20,3,0,0.0,[]
113,Martial et priapea,Carmen et al.,10,5,3,0,0.0,[]
104,Martial et priapea,Carmen et al.,5,20,3,0,0.0,[]
416,Small passages,Carmen et al.,15,5,3,0,0.0,[]
417,Small passages,Carmen et al.,15,5,4,0,0.0,[]
423,Small passages,Carmen et al.,15,10,4,0,0.0,[]
83,Martial et priapea,Puer et al.,20,20,3,0,0.0,[]
440,Small passages,Carmen et al.,20,5,3,0,0.0,[]
441,Small passages,Carmen et al.,20,5,4,0,0.0,[]
442,Small passages,Carmen et al.,20,5,5,0,0.0,[]
446,Small passages,Carmen et al.,20,10,3,0,0.0,[]
447,Small passages,Carmen et al.,20,10,4,0,0.0,[]
448,Small passages,Carmen et al.,20,10,5,0,0.0,[]
140,Martial et priapea,Carmen et al.,15,10,4,0,0.0,[]
452,Small passages,Carmen et al.,20,20,3,0,0.0,[]
357,Small passages,Puer et al.,20,20,4,0,0.0,[]
354,Small passages,Puer et al.,20,10,7,0,0.0,[]
238,Martial et priapea,4 Fields,15,20,5,0,0.0,[]
260,Martial et priapea,4 Fields,20,20,3,0,0.0,[]
261,Martial et priapea,4 Fields,20,20,4,0,0.0,[]
207,Martial et priapea,4 Fields,10,10,4,0,0.0,[]
206,Martial et priapea,4 Fields,10,10,3,0,0.0,[]
302,Small passages,Puer et al.,10,10,3,0,0.0,[]
326,Small passages,Puer et al.,15,10,3,0,0.0,[]
327,Small passages,Puer et al.,15,10,4,0,0.0,[]
332,Small passages,Puer et al.,15,20,3,0,0.0,[]
333,Small passages,Puer et al.,15,20,4,0,0.0,[]
334,Small passages,Puer et al.,15,20,5,0,0.0,[]
335,Small passages,Puer et al.,15,20,6,0,0.0,[]
336,Small passages,Puer et al.,15,20,7,0,0.0,[]
337,Small passages,Puer et al.,15,20,8,0,0.0,[]
338,Small passages,Puer et al.,20,1,3,0,0.0,[]
350,Small passages,Puer et al.,20,10,3,0,0.0,[]
351,Small passages,Puer et al.,20,10,4,0,0.0,[]
352,Small passages,Puer et al.,20,10,5,0,0.0,[]
353,Small passages,Puer et al.,20,10,6,0,0.0,[]
356,Small passages,Puer et al.,20,20,3,0,0.0,[]
453,Small passages,Carmen et al.,20,20,4,0,0.0,[]
236,Martial et priapea,4 Fields,15,20,3,0,0.0,[]
506,Small passages,4 Fields,15,1,3,0,0.0,[]
507,Small passages,4 Fields,15,1,4,0,0.0,[]
536,Small passages,4 Fields,20,5,3,0,0.0,[]
548,Small passages,4 Fields,20,20,3,0,0.0,[]
496,Small passages,4 Fields,10,10,5,0,0.0,[]
530,Small passages,4 Fields,20,1,3,0,0.0,[]
495,Small passages,4 Fields,10,10,4,0,0.0,[]
494,Small passages,4 Fields,10,10,3,0,0.0,[]
524,Small passages,4 Fields,15,20,3,0,0.0,[]
301,Small passages,Puer et al.,10,5,8,1,0.125,[1]
355,Small passages,Puer et al.,20,10,8,1,0.125,[1]
361,Small passages,Puer et al.,20,20,8,1,0.125,[10]
331,Small passages,Puer et al.,15,10,8,1,0.125,[1]
432,Small passages,Carmen et al.,15,20,7,1,0.14285714285714285,[6]
360,Small passages,Puer et al.,20,20,7,1,0.14285714285714285,[10]
444,Small passages,Carmen et al.,20,5,7,1,0.14285714285714285,[2]
192,Martial et priapea,4 Fields,5,20,7,1,0.14285714285714285,[4]
300,Small passages,Puer et al.,10,5,7,1,0.14285714285714285,[1]
420,Small passages,Carmen et al.,15,5,7,1,0.14285714285714285,[3]
438,Small passages,Carmen et al.,20,1,7,1,0.14285714285714285,[1]
240,Martial et priapea,4 Fields,15,20,7,1,0.14285714285714285,[1]
498,Small passages,4 Fields,10,10,7,1,0.14285714285714285,[2]
330,Small passages,Puer et al.,15,10,7,1,0.14285714285714285,[1]
437,Small passages,Carmen et al.,20,1,6,1,0.16666666666666666,[1]
299,Small passages,Puer et al.,10,5,6,1,0.16666666666666666,[1]
329,Small passages,Puer et al.,15,10,6,1,0.16666666666666666,[1]
425,Small passages,Carmen et al.,15,10,6,1,0.16666666666666666,[1]
305,Small passages,Puer et al.,10,10,6,1,0.16666666666666666,[1]
497,Small passages,4 Fields,10,10,6,1,0.16666666666666666,[2]
419,Small passages,Carmen et al.,15,5,6,1,0.16666666666666666,[3]
