,S,Ignore,URN,Nom FR,Birth,Death,certainty,certainty.1,Citation level,Name of citation level,Sources,Sources Pages,Notes,Nom EN,Titre
0,,,urn:cts:greekLit:tlg0527.tlg003.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,Leviticus
1,,,urn:cts:greekLit:tlg0527.tlg017.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,1 Esdras
2,,,urn:cts:greekLit:tlg0527.tlg021.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,Tobit
3,,,urn:cts:greekLit:tlg0527.tlg023.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,1 Maccabees
4,,,urn:cts:greekLit:tlg0527.tlg024.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,2 Maccabees
5,,,urn:cts:greekLit:tlg0527.tlg028.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,Prayer of Manasses
6,,,urn:cts:greekLit:tlg0527.tlg033.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,Wisdom
7,,,urn:cts:greekLit:tlg0527.tlg034.obi-lat1,Vulgate,347.0,419.0,high,high,,"chapter,verse",Fredouille,389,,Vulgate,Ecclesiasticus
8,,,urn:cts:latinLit:anthoLat.phi1017.musisquedeoque-lat1,Anthologia Latina,0.0,500.0,,,,"poem,line",,,,Anthologia Latina,Anthologia Latina - Seneca Epigrammata
9,,,urn:cts:latinLit:dlt000386.dlt000386.digilibLT-lat1,,,,,,,"book,chapter",,,,Panegyrici Latini,Panegyrici Latini
10,,,urn:cts:latinLit:phi0692.phi002.remacle-lat1,,,,,,,line,,,,"Appendix Vergiliana, Lydia.","Appendix Vergiliana, Lydia - Dirae"
11,,,urn:cts:latinLit:phi1002.phi003.latinlibrary-lat1,Quintilien,30.0,95.0,medium-high,medium-high,,"declamatio,section",Fredouille,273,,Quintilian,Declamationes Maiores
12,,,urn:cts:latinLit:phi1017.phi016.corpuscorporum-lat1,Sénèque,-1.0,65.0,high,high,,"book,chapter,section",Fredouille,231,,"Seneca, Lucius Annaeus (Plays)",Naturales quaestiones
13,,,urn:cts:latinLit:phi1251.phi001.corpuscorporum-lat1,,,,,,,"book,section",,,,Gaius,Institutiones
14,,,urn:cts:latinLit:phi1363.phi002.digilibLT-lat1,,,,,,,section,,,,Asper (Aemilius Asper?),σχήματα λόγου
15,,,urn:cts:latinLit:phi1500.phi001.digilibLT-lat1,,,,,,,paragraph,,,,Altercatio Hadriani Augusti et Epicteti Philosophi,Altercatio Hadriani Augusti et Epicteti Philosophi
16,,,urn:cts:latinLit:phi963.phi002.digilibLT-lat1,,,,,,,"section,paragraph",,,,Palaemon (Ps.),"Ars, sive Regulae"
17,,,urn:cts:latinLit:phi996.phi004.digilibLT-lat1,,,,,,,fulltext,,,,Probus (Ps.),Vita Vergilii
18,,,urn:cts:latinLit:stoa0012a.stoa001.digilibLT-lat1,,,,,,,paragraphs,,,,Agennius Vrbicus,De controuersiis agrorum
19,,,urn:cts:latinLit:stoa0012a.stoa002.digilibLT-lat1,,,,,,,paragraphs,,,,Agennius Vrbicus,Commentum de agrorum qualitate
20,,,urn:cts:latinLit:stoa0012a.stoa003.digilibLT-lat1,,,,,,,paragraph,,,,Agennius Vrbicus,Commentum de controuersiis
21,,,urn:cts:latinLit:stoa0013c.stoa001.digilibLT-lat1,,,,,,,paragraph,,,,Agroecius,Ars de orthographia
22,,,urn:cts:latinLit:stoa0020b.stoa001.digilibLT-lat1,,,,,,,paragraph,,,,Epistola Alexandri ad Aristotelem,Epistola Alexandri ad Aristotelem
23,,,urn:cts:latinLit:stoa0020b.stoa002.digilibLT-lat1,,,,,,,chapter,,,,Epistola Alexandri ad Aristotelem,Collatio Alexandri et Dindimi
24,,,urn:cts:latinLit:stoa0022.stoa036.corpuscorporum-lat1,Ambroise,339.0,397.0,medium-high,high,,"book,chapter",Fredouille,383,,"Ambrose, Saint, Bishop of Milan, d. 397",De lapsu virginis consecratae
25,,,urn:cts:latinLit:stoa0022.stoa054.corpuscorporum-lat1,Ambroise,339.0,397.0,medium-high,high,,"book,chapter,section",Fredouille,383,,"Ambrose, Saint, Bishop of Milan, d. 397",Hexaëmeron
26,,,urn:cts:latinLit:stoa0023.stoa001.digilibLT-lat1,Ammianus Marcellinus,330.0,400.0,,,,"books,chapters",,,,Ammianus Marcellinus,Res Gestae
27,,,urn:cts:latinLit:stoa0029.stoa001.digilibLT-lat1,,,,,,,"book,chapter",,,,Apicius,De re coquinaria
28,,,urn:cts:latinLit:stoa0030.stoa008.digilibLT-lat1,,,,,,,unknown,,,,Asclepius,Asclepius
29,,,urn:cts:latinLit:stoa0030b.stoa001.digilibLT-lat1,,,,,,,paragraph,,,,Aquila Romanus,De figuris
30,,,urn:cts:latinLit:stoa0035a.stoa001.digilibLT-lat1,,,,,,,paragraph,,,,Arusianus Messius,Exempla elocutionum
31,,,urn:cts:latinLit:stoa0039c.stoa001.digilibLT-lat1,,,,,,,section,,,,Audax,Excerpta de Scauro et Palladio
32,,,urn:cts:latinLit:stoa0040a.stoa004.digilibLT-lat1,Ambrosiaster,350.0,400.0,low,low,,paragraph,http://www.persee.fr/doc/thlou_0080-2654_2010_num_41_2_3829_t1_0275_0000_3,,,Augustini Ars Breuiata,Augustini Ars Breuiata
33,,,urn:cts:latinLit:stoa0043.stoa001.digilibLT-lat1,,,,,,,chapter,,,,Sextus Aurelius Victor,Liber de Caesaribus
34,,,urn:cts:latinLit:stoa0044.stoa001.digilibLT-lat1,,,,,,,chapter,,,,Aurelius Victor Ps.,Origo gentis Romanae
35,,,urn:cts:latinLit:stoa0044.stoa002.digilibLT-lat1,,,,,,,chapter,,,,Aurelius Victor Ps.,Liber de uiris illustribus urbis Romae
36,,,urn:cts:latinLit:stoa0044.stoa003.digilibLT-lat1,,,,,,,chapter,,,,Aurelius Victor Ps.,Epitome de Caesaribus
37,,,urn:cts:latinLit:stoa0045.stoa003a.digilibLT-lat1,Ausone,310.0,400.0,medium-high,medium-high,,fulltext,Fredouille,411,Besoin de vérifier le genre,Ausonius,Cento nuptialis: epistula praef.
38,,,urn:cts:latinLit:stoa0045.stoa011.digilibLT-lat1,Ausone,310.0,400.0,medium-high,medium-high,,epistula,Fredouille,411,Besoin de vérifier le genre,Ausonius,Epistulae
