POS	Code	Case	Code	Number	Code	Genre	Code	Degre	Code	Mode	Code	Temps	Code	Voix	Code	Personne	Code	Morph	Empty
Substantif	NOM	Nominatif	Nom	Singulier	Sing														
Substantif	NOM	Vocatif	Voc	Singulier	Sing														
Substantif	NOM	Accusatif	Acc	Singulier	Sing														
Substantif	NOM	Génitif	Gen	Singulier	Sing														
Substantif	NOM	Datif	Dat	Singulier	Sing														
Substantif	NOM	Ablatif	Abl	Singulier	Sing														
Substantif	NOM	Locatif	Loc	Singulier	Sing														
Substantif	NOM	Indéclinable	Ind																
Substantif	NOM	Nominatif	Nom	Pluriel	Plur														
Substantif	NOM	Vocatif	Voc	Pluriel	Plur														
Substantif	NOM	Accusatif	Acc	Pluriel	Plur														
Substantif	NOM	Génitif	Gen	Pluriel	Plur														
Substantif	NOM	Datif	Dat	Pluriel	Plur														
Substantif	NOM	Ablatif	Abl	Pluriel	Plur														
Substantif	NOM	Locatif	Loc	Pluriel	Plur														
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Datif	Dat	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Locatif	Loc	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Indéclinable	Ind	Singulier	Sing	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Datif	Dat	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Commun	Com			Participe	Par	Présent	Pres	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Datif	Dat	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Locatif	Loc	Singulier	Sing	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Datif	Dat	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Féminin	Fem			Participe	Par	Présent	Pres	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Présent	Pres	Actif	Act				
