corpus,train,dev,train_toks,dev_toks
prose,10518,554,243585,13449
corpus-divers,18569,978,372641,19761
Caesar_BellumGallicum_CaesBG3,123,7,3517,120
Catullus_Catullus_Catul,690,37,12412,608
cicero-discours,18217,959,371379,20011
Cicero_DeAmicitia_CicAmici,431,23,8729,543
Cicero_InCatilinam_CicCat1,154,9,3062,226
ciceron-petit,5724,302,110692,5675
Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,279,15,6716,459
vers,13770,725,247296,12421
horace+lucrece,3846,203,86937,4618
Horatius_Epodi_HorEpodi,133,7,2895,176
ovide,6247,329,90493,4916
Ovidius_InIbin_OviIbin,211,12,4012,184
Petronius_PetroniusSatiricon_PetronSa,2033,107,29114,1501
theatre-plaute-seneque,10191,537,109897,5674
PseudoCaesar1_BellumAfricanum_BAfr,464,25,12634,724
Sallustius_Catilina_SalCatil,467,25,10111,487
seneque-philo-autres,5343,282,111634,5916
seneque-lucilium,8172,431,112797,6004
Seneca_DeBrevitateVitae_SenBrevi,266,14,5887,226
Seneca_Medea_SenMedea,421,23,5399,286
tacite,5018,265,111545,6007
Tacitus_TacGermania_TacGerma,281,15,5436,212
virgile,3933,208,83027,4461
