,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-15_37_41.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,54.3,96.39,77.39,76.52,96.95,84.24000000000001,83.84,85.16,69.11,68.37,90.58,61.51,63.32,62.33,45.519999999999996,45.42,67.0,67.0,67.0,67.0,67.0,67.0,63.0,63.0,63.0,67.0,66.5,67.0,7.0,8.0,8.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-19_37_23.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,51.766666666666666,96.55,79.55,79.03,97.07000000000001,86.27,86.25,86.11999999999999,70.94,70.34,90.7,61.51,63.65,61.89,45.0,44.95,66.0,56.0,55.5,66.0,63.0,63.0,56.5,51.0,51.5,65.0,66.5,66.0,17.5,18.0,15.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_04-21_59_31.tar,lemma,Ranger-LSTM-H128-C300,Ranger,LSTM,128,300,61.8,96.57,78.59,78.28,97.17,87.19,87.2,84.83000000000001,68.07,67.74,90.85,61.8,63.89,48.89,32.37,32.18,64.5,65.0,65.0,63.0,54.0,54.0,65.0,65.0,65.0,63.0,65.0,65.0,57.5,58.0,58.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_07-18_44_57.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,53.8,96.57,79.75,79.24,97.09,86.86,86.77,86.18,71.07,70.42,90.59,62.19,64.14,60.12,43.45,43.26,64.5,54.0,54.0,65.0,57.0,56.5,53.5,49.0,50.0,66.0,63.0,63.0,38.5,37.0,36.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-10_29_23.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,54.333333333333336,96.6,79.36,78.84,97.1,85.98,85.85000000000001,86.52,71.34,70.86,90.83,62.18,63.99,60.3,43.29,43.16,63.0,60.0,61.0,64.0,65.0,65.0,45.0,44.0,44.0,64.0,64.0,64.0,36.0,38.0,38.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_06-14_56_35.tar,lemma,Ranger-LSTM-H170-C200,Ranger,LSTM,170,200,57.46666666666667,96.67999999999999,78.34,77.57,97.25,85.78,85.42999999999999,85.39999999999999,69.5,68.75,91.47,63.239999999999995,64.91,59.95,42.86,42.699999999999996,62.0,66.0,66.0,58.0,66.0,66.0,62.0,61.0,62.0,51.5,60.0,59.0,40.5,41.0,41.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-15_44_26.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,52.46666666666667,96.69,79.25999999999999,78.64,97.21,86.16,85.94000000000001,86.55000000000001,71.15,70.67,91.17,63.27,64.96,60.57,43.64,43.54,60.5,61.0,64.0,62.0,64.0,64.0,44.0,47.0,48.0,60.0,59.0,58.0,31.5,33.0,31.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-15_19_37.tar,lemma,Ranger-LSTM-H128-C200,Ranger,LSTM,128,200,52.36666666666667,96.69,79.53,78.9,97.22,86.67,86.49,86.3,70.97,70.34,91.13,62.51,64.56,60.650000000000006,43.71,43.49,60.5,57.0,58.0,60.5,60.0,60.0,50.0,50.0,51.5,61.0,62.0,61.5,29.5,31.0,33.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_08-13_00_07.tar,lemma,Ranger-LSTM-H170-C250,Ranger,LSTM,170,250,46.56666666666667,96.7,79.47,78.94,97.22,86.45,86.28,86.5,71.36,70.84,91.23,64.13,65.71000000000001,61.980000000000004,45.17,44.98,59.0,58.0,57.0,60.5,62.0,61.0,46.0,43.0,45.5,58.0,53.0,52.0,15.0,14.5,14.0
./models/latin-upc-single-lemma-complexe2-lemma-2021_03_05-16_44_05.tar,lemma,Ranger-LSTM-H128-C250,Ranger,LSTM,128,250,53.9,96.71,79.57,79.03,97.23,86.74,86.63,86.24000000000001,70.85000000000001,70.32000000000001,91.12,62.64999999999999,64.56,59.95,43.1,43.01,58.0,55.0,55.5,59.0,59.0,59.0,52.0,53.0,53.0,62.0,61.0,61.5,40.5,40.0,40.0
