,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upvc-single-Case-Case-2021_02_20-16_15_57.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.64,90.38000000000001,88.82,94.86,91.05,89.56,90.18,74.51,70.96000000000001,88.53,87.46000000000001,86.19,0.0,0.0,0.0,2.0,5.0,1.0,3.0,5.5,1.0,2.0,5.0,6.0,2.0,6.0,1.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_20-21_58_02.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.67,89.95,87.87,94.89,90.78,88.47,90.24,72.28,76.57000000000001,88.62,87.39,85.25,0.0,0.0,0.0,1.0,7.0,3.0,1.0,7.0,3.0,1.0,6.0,3.0,1.0,7.0,4.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_21-02_44_51.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.15,91.0,86.33999999999999,94.41000000000001,91.72,86.92999999999999,88.82,67.7,65.4,87.74,87.86,83.91999999999999,0.0,0.0,0.0,8.0,2.0,9.0,8.0,2.0,9.0,9.0,9.0,9.0,8.0,4.0,9.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_21-08_12_00.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.28,90.75,86.88,94.52000000000001,91.38,87.6,89.42999999999999,77.44,70.47,88.0,87.94,84.86,0.0,0.0,0.0,7.0,4.0,8.0,7.0,3.0,8.0,6.0,3.5,7.0,6.0,2.5,7.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_21-13_11_09.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.43,89.57000000000001,87.77000000000001,94.69,90.64999999999999,88.46000000000001,89.28,71.39999999999999,71.50999999999999,88.23,87.49,84.91,0.0,0.0,0.0,5.0,9.0,4.0,5.0,8.0,4.0,7.0,7.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_21-18_41_40.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.63000000000001,91.10000000000001,87.47,94.87,91.97999999999999,88.06,89.67,77.44,70.03,88.5,88.05,85.17,0.0,0.0,0.0,3.0,1.0,6.0,2.0,1.0,6.0,4.0,3.5,8.0,3.0,1.0,5.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_21-23_25_31.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.54,90.88000000000001,87.72999999999999,94.77,91.33,88.32,89.89,77.91,76.75,88.39,87.94,85.38,0.0,0.0,0.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,2.5,3.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_22-04_46_10.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.32000000000001,89.62,88.06,94.56,90.16999999999999,88.53999999999999,89.45,80.55,79.05,87.96000000000001,86.63,85.6,0.0,0.0,0.0,6.0,8.0,2.0,6.0,9.0,2.0,5.0,1.0,1.0,7.0,9.0,2.0,0.0,0.0,0.0
./models/latin-upvc-single-Case-Case-2021_02_22-10_10_50.tar,Case,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,94.12,90.36,87.02,94.37,91.05,87.69,89.14,68.19,73.76,87.62,87.25,84.3,0.0,0.0,0.0,9.0,6.0,7.0,9.0,5.5,7.0,8.0,8.0,4.0,9.0,8.0,8.0,0.0,0.0,0.0
./models/latin-upvc-single-Deg-Deg-2021_02_20-16_34_37.tar,Deg,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,98.31,97.49,97.39,98.5,97.75,97.71,94.42,93.15,92.14,93.24,93.67999999999999,93.71000000000001,0.0,0.0,0.0,5.5,4.5,8.5,5.5,2.0,9.0,5.5,9.0,6.0,6.0,2.0,9.0,0.0,0.0,0.0
./models/latin-upvc-single-Deg-Deg-2021_02_20-22_23_32.tar,Deg,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,98.36,97.25,97.99,98.55000000000001,97.43,98.31,94.42,93.64,92.99,93.39,93.07,95.1,0.0,0.0,0.0,3.5,7.0,1.0,3.0,6.0,1.0,5.5,8.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0
./models/latin-upvc-single-Deg-Deg-2021_02_21-03_14_23.tar,Deg,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,98.31,97.49,97.61,98.5,97.61999999999999,98.0,94.46,94.49,91.41,93.28,93.4,94.39,0.0,0.0,0.0,5.5,4.5,6.0,5.5,5.0,5.5,4.0,1.0,8.0,5.0,5.0,5.0,0.0,0.0,0.0
./models/latin-upvc-single-Deg-Deg-2021_02_21-08_52_32.tar,Deg,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,98.41,97.61,97.83,98.59,97.78,98.1,94.72,94.19999999999999,93.23,93.57,93.78,94.69,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
./models/latin-upvc-single-Deg-Deg-2021_02_21-13_32_40.tar,Deg,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,98.2,97.2,97.39,98.41,97.34,97.83,93.92,94.08,90.25,92.92,92.64,94.25,0.0,0.0,0.0,9.0,8.5,8.5,9.0,9.0,8.0,9.0,5.0,9.0,9.0,9.0,7.0,0.0,0.0,0.0
./models/latin-upvc-single-Deg-Deg-2021_02_21-19_12_41.tar,Deg,Adam-LSTM-H300-C150,Adam,LSTM,300,150,,98.36,97.54,97.7,98.54,97.69,98.02,94.67999999999999,94.45,92.54,93.32000000000001,93.51,94.38,0.0,0.0,0.0,3.5,2.0,4.0,4.0,3.5,4.0,3.0,2.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0
