corpus,train,dev,train_toks,dev_toks
cesar-histoire-non-gaule,1400,74,31318,1603
cesar-histoire,3073,162,70916,3724
histoire-republicaine,5247,277,126032,6406
histoire,12980,684,328518,17496
discours+dialogue+histoire-rep,24635,1297,522159,27356
cesar-gaule,1672,89,39421,2298
Caesar_BellumGallicum_CaesBG3,123,7,3357,280
Catullus_Catullus_Catul,690,37,12414,606
cesar-discours,17135,902,346885,18424
discours+dialogues,19387,1021,396303,20774
cesar-dialogues,2252,119,48983,2785
Cicero_InCatilinam_CicCat1,154,9,3158,130
Curtius_CurtiusHistoriaeAlexandriMagni_QCurt03,279,15,6845,330
histoire-non-republicaine,7733,407,202353,11223
cesar-imitateurs,2174,115,54818,2980
vers,11746,619,204772,10331
Sallustius_Catilina_SalCatil,467,25,10112,486
