model,layers,test,all/accuracy,all/precision,all/recall,all/support,ambiguous-tokens/accuracy,ambiguous-tokens/precision,ambiguous-tokens/recall,ambiguous-tokens/support,unknown-tokens/accuracy,unknown-tokens/precision,unknown-tokens/recall,unknown-tokens/support
cesar-dialogues,1,Caesar_BellumGallicum_CaesBG3,0.8232,0.6915,0.6703,3382,0.7681,0.6523,0.7053,496,0.6218,0.1167,0.1183,1071
cesar-dialogues,2,Caesar_BellumGallicum_CaesBG3,0.1765,0.0099,0.0369,3382,0.0302,0.0164,0.0558,496,0.338,0.0376,0.0812,1071
cesar-discours,1,Caesar_BellumGallicum_CaesBG3,0.9308,0.8087,0.8177,3382,0.8541,0.6503,0.7326,706,0.8393,0.538,0.5205,448
cesar-discours,2,Caesar_BellumGallicum_CaesBG3,0.9409,0.8127,0.797,3382,0.8584,0.7233,0.7621,706,0.8683,0.4866,0.4657,448
cesar-gaule,1,Caesar_BellumGallicum_CaesBG3,0.9216,0.7916,0.7496,3382,0.8655,0.7957,0.7762,528,0.6771,0.2122,0.2469,480
cesar-gaule,2,Caesar_BellumGallicum_CaesBG3,0.3258,0.0148,0.0455,3382,0.0814,0.0043,0.0526,528,0.375,0.0536,0.1429,480
cesar-histoire-non-gaule,1,Caesar_BellumGallicum_CaesBG3,0.8941,0.7315,0.7137,3382,0.8091,0.5751,0.6311,508,0.6871,0.2097,0.1998,652
cesar-histoire-non-gaule,2,Caesar_BellumGallicum_CaesBG3,0.3258,0.0148,0.0455,3382,0.0413,0.0022,0.0526,508,0.4049,0.0506,0.125,652
cesar-histoire,1,Caesar_BellumGallicum_CaesBG3,0.9347,0.8473,0.7931,3382,0.8547,0.6931,0.7019,578,0.7095,0.2757,0.2447,358
cesar-histoire,2,Caesar_BellumGallicum_CaesBG3,0.0074,0.0004,0.0455,3382,0.0104,0.0005,0.05,578,0.0,0.0,0.0,358
cesar-imitateurs,1,Caesar_BellumGallicum_CaesBG3,0.8995,0.7635,0.7553,3382,0.8388,0.6844,0.6931,583,0.6631,0.2656,0.2652,564
cesar-imitateurs,2,Caesar_BellumGallicum_CaesBG3,0.3258,0.0148,0.0455,3382,0.0772,0.0041,0.0526,583,0.3865,0.0483,0.125,564
