Model,lemma_all_accuracy,lemma_all_precision,lemma_all_support,lemma_unknown-tokens_accuracy,lemma_unknown-tokens_precision,lemma_unknown-tokens_support,lemma_ambiguous-tokens_accuracy,lemma_ambiguous-tokens_precision,lemma_ambiguous-tokens_support,lemma_unknown-targets_accuracy,lemma_unknown-targets_precision,lemma_unknown-targets_support,pos_all_accuracy,pos_all_precision,pos_all_support,pos_unknown-tokens_accuracy,pos_unknown-tokens_precision,pos_unknown-tokens_support,pos_ambiguous-tokens_accuracy,pos_ambiguous-tokens_precision,pos_ambiguous-tokens_support,pos_unknown-targets_accuracy,pos_unknown-targets_precision,pos_unknown-targets_support,Gend_all_accuracy,Gend_all_precision,Gend_all_support,Gend_unknown-tokens_accuracy,Gend_unknown-tokens_precision,Gend_unknown-tokens_support,Gend_ambiguous-tokens_accuracy,Gend_ambiguous-tokens_precision,Gend_ambiguous-tokens_support,Gend_unknown-targets_accuracy,Gend_unknown-targets_precision,Gend_unknown-targets_support
"model-percent-0,01",0.0,0.0,5696,0.0,0.0,1721,0.0,0.0,412,0.0,0.0,575,0.293,0.0117,5696,0.3515,0.0185,1721,0.0556,0.0026,846,NaN,NaN,NaN,0.741,0.1059,5696,0.6839,0.0977,1721,0.2278,0.0325,461,NaN,NaN,NaN
"model-percent-0,075",0.9284,0.6951,16079,0.7002,0.5,2255,0.8387,0.5838,1971,0.2912,0.1743,443,0.9211,0.8717,16079,0.7809,0.2357,2255,0.8439,0.771,3473,NaN,NaN,NaN,0.9315,0.851,16079,0.8271,0.7366,2255,0.7599,0.769,2062,NaN,NaN,NaN
"model-percent-0,10",0.9403,0.7477,20642,0.764,0.5929,2593,0.8602,0.5897,2905,0.5453,0.3773,475,0.9303,0.8921,20642,0.8099,0.3543,2593,0.8574,0.8402,4705,NaN,NaN,NaN,0.9328,0.847,20642,0.8388,0.7281,2593,0.7712,0.7763,3016,NaN,NaN,NaN
"model-percent-0,20",0.9522,0.7615,37952,0.7838,0.6067,3413,0.8675,0.6222,6023,0.3681,0.2294,527,0.9476,0.9272,37952,0.8705,0.5618,3413,0.8726,0.8523,9638,NaN,NaN,NaN,0.9473,0.8703,37952,0.874,0.7905,3413,0.8132,0.8065,6498,NaN,NaN,NaN
"model-percent-0,40",0.9685,0.8374,72706,0.8629,0.7213,4414,0.8959,0.6827,13363,0.6157,0.4529,635,0.961,0.9397,72706,0.9042,0.4533,4414,0.8928,0.8503,19378,NaN,NaN,NaN,0.9605,0.9053,72706,0.8978,0.8291,4414,0.8496,0.8511,13354,NaN,NaN,NaN
"model-percent-0,60",0.9704,0.8233,106870,0.8555,0.7037,5030,0.9024,0.6663,20967,0.5796,0.4105,716,0.9644,0.8743,106870,0.9157,0.4795,5030,0.9021,0.8275,30471,NaN,NaN,NaN,0.9646,0.9172,106870,0.9155,0.8694,5030,0.8629,0.8653,21017,NaN,NaN,NaN
"model-percent-0,80",0.9748,0.8393,140898,0.8598,0.704,5535,0.9202,0.7148,30197,0.4514,0.2913,740,0.966,0.8798,140898,0.9156,0.4364,5535,0.906,0.8341,41515,NaN,NaN,NaN,0.9697,0.9267,140898,0.9265,0.8827,5535,0.8808,0.8782,28854,NaN,NaN,NaN
"model-percent-simpler-0,01",0.7532,0.3913,5696,0.4085,0.2558,1721,0.7767,0.5445,412,0.3913,0.2418,575,0.7925,0.702,5696,0.4869,0.0703,1721,0.7943,0.5881,846,NaN,NaN,NaN,0.8483,0.7623,5696,0.663,0.314,1721,0.6529,0.7004,461,NaN,NaN,NaN
"model-percent-simpler-0,05",0.8997,0.625,11811,0.6486,0.4596,1998,0.8327,0.5441,1291,0.46,0.3012,437,0.8934,0.8189,11811,0.6947,0.2385,1998,0.8344,0.745,2271,NaN,NaN,NaN,0.905,0.7821,11811,0.7563,0.6014,1998,0.7088,0.7332,1377,NaN,NaN,NaN
"model-percent-simpler-0,075",0.9057,0.6249,16079,0.6545,0.4705,2255,0.8351,0.5593,1971,0.4808,0.3185,443,0.9064,0.8677,16079,0.7251,0.2231,2255,0.8442,0.7684,3473,NaN,NaN,NaN,0.9148,0.8062,16079,0.7561,0.5992,2255,0.7401,0.7475,2062,NaN,NaN,NaN
