model,layers,train_tokens,dev_tokens,test,All / Accuracy,All / Precision,All / Recall,All / Support,Ambiguous tokens / Accuracy,Ambiguous tokens / Precision,Ambiguous tokens / Recall,Ambiguous tokens / Support,Unknown tokens / Accuracy,Unknown tokens / Precision,Unknown tokens / Recall,Unknown tokens / Support
Cicero discours,1,370694,20696,Caesar_BellumGallicum_CaesBG3,0.9342,0.812,0.8583,3403,0.7647,0.7184,0.7478,442,0.825,0.6208,0.6696,440
Cicero discours,2,370694,20696,Caesar_BellumGallicum_CaesBG3,0.9421,0.8429,0.8569,3403,0.7557,0.7088,0.7182,442,0.8795,0.7715,0.7177,440
Ciceron petit,1,110859,5508,Caesar_BellumGallicum_CaesBG3,0.9042,0.837,0.723,3403,0.7134,0.6832,0.7483,328,0.746,0.3685,0.2,756
Ciceron petit,2,110859,5508,Caesar_BellumGallicum_CaesBG3,0.9074,0.8225,0.7546,3403,0.6799,0.665,0.7445,328,0.7765,0.6502,0.3198,756
Corpus divers,1,372877,19525,Caesar_BellumGallicum_CaesBG3,0.9492,0.8688,0.8894,3403,0.7505,0.7468,0.7749,477,0.9157,0.8969,0.8634,332
Corpus divers,2,372877,19525,Caesar_BellumGallicum_CaesBG3,0.9592,0.8908,0.9048,3403,0.7945,0.7801,0.8013,477,0.9217,0.8847,0.8977,332
Horace_lucrece,1,86929,4626,Caesar_BellumGallicum_CaesBG3,0.8557,0.6701,0.6703,3403,0.6616,0.6725,0.6883,328,0.7055,0.4242,0.3923,1158
Horace_lucrece,2,86929,4626,Caesar_BellumGallicum_CaesBG3,0.8645,0.6662,0.7555,3403,0.6829,0.6947,0.7189,328,0.715,0.4864,0.5862,1158
Ovide,1,90679,4730,Caesar_BellumGallicum_CaesBG3,0.8537,0.7565,0.5688,3403,0.602,0.6372,0.6106,294,0.7403,0.4593,0.2257,1317
Ovide,2,90679,4730,Caesar_BellumGallicum_CaesBG3,0.8478,0.7015,0.613,3403,0.5918,0.6538,0.6438,294,0.7297,0.4157,0.3117,1317
Prose,1,243959,13075,Caesar_BellumGallicum_CaesBG3,0.95,0.8578,0.8865,3403,0.7489,0.764,0.7941,442,0.8994,0.8159,0.815,308
Prose,2,243959,13075,Caesar_BellumGallicum_CaesBG3,0.9556,0.872,0.8913,3403,0.7534,0.7426,0.747,442,0.9286,0.8702,0.8515,308
Seneque lucilium,1,112818,5983,Caesar_BellumGallicum_CaesBG3,0.8927,0.758,0.766,3403,0.7243,0.6672,0.7237,341,0.7574,0.4982,0.4984,948
Seneque lucilium,2,112818,5983,Caesar_BellumGallicum_CaesBG3,0.8951,0.7622,0.7629,3403,0.6481,0.6386,0.6812,341,0.8038,0.5826,0.5688,948
Seneque philo autres,1,111329,6221,Caesar_BellumGallicum_CaesBG3,0.8833,0.7236,0.7437,3403,0.6383,0.5859,0.6659,329,0.7365,0.4697,0.4721,850
Seneque philo autres,2,111329,6221,Caesar_BellumGallicum_CaesBG3,0.8992,0.7842,0.7879,3403,0.6657,0.6248,0.7015,329,0.7706,0.6287,0.6223,850
Tacite,1,111431,6121,Caesar_BellumGallicum_CaesBG3,0.9186,0.7949,0.7977,3403,0.6372,0.6596,0.6485,328,0.8417,0.7047,0.6824,619
Tacite,2,111431,6121,Caesar_BellumGallicum_CaesBG3,0.9242,0.801,0.8319,3403,0.6494,0.6815,0.6786,328,0.8691,0.7058,0.7854,619
Theatre plaute seneque,1,110172,5399,Caesar_BellumGallicum_CaesBG3,0.8534,0.6777,0.6266,3403,0.6216,0.6783,0.5847,296,0.7195,0.3989,0.3116,1148
Theatre plaute seneque,2,110172,5399,Caesar_BellumGallicum_CaesBG3,0.8657,0.6856,0.6891,3403,0.5878,0.6437,0.5752,296,0.7666,0.5283,0.4888,1148
Vers,1,246514,13203,Caesar_BellumGallicum_CaesBG3,0.8927,0.7429,0.7693,3403,0.6837,0.6741,0.6883,392,0.8059,0.5972,0.6361,953
Vers,2,246514,13203,Caesar_BellumGallicum_CaesBG3,0.8957,0.7465,0.7769,3403,0.6786,0.6822,0.722,392,0.808,0.5883,0.6113,953
Virgile,1,82977,4511,Caesar_BellumGallicum_CaesBG3,0.8525,0.7047,0.608,3403,0.581,0.6168,0.6375,253,0.7387,0.4287,0.2754,1259
Virgile,2,82977,4511,Caesar_BellumGallicum_CaesBG3,0.861,0.6994,0.6665,3403,0.5613,0.6188,0.628,253,0.7498,0.4835,0.3857,1259
Cicero discours,1,370694,20696,Catullus_Catullus_Catul,0.87,0.772,0.7322,12397,0.7042,0.7053,0.7295,1535,0.7498,0.6248,0.5589,3485
Cicero discours,2,370694,20696,Catullus_Catullus_Catul,0.8872,0.8197,0.7468,12397,0.7531,0.7596,0.7719,1535,0.7696,0.68,0.5441,3485
Ciceron petit,1,110859,5508,Catullus_Catullus_Catul,0.8352,0.8094,0.5377,12397,0.6377,0.6945,0.6983,1082,0.6742,0.4906,0.1922,4607
Ciceron petit,2,110859,5508,Catullus_Catullus_Catul,0.8413,0.8029,0.5811,12397,0.6756,0.7196,0.7084,1082,0.6837,0.5803,0.2637,4607
Corpus divers,1,372877,19525,Catullus_Catullus_Catul,0.9166,0.8419,0.8272,12397,0.7552,0.772,0.7744,2059,0.8148,0.7175,0.6794,1636
Corpus divers,2,372877,19525,Catullus_Catullus_Catul,0.9238,0.8472,0.848,12397,0.779,0.7785,0.7909,2059,0.8117,0.6978,0.7102,1636
Horace_lucrece,1,86929,4626,Catullus_Catullus_Catul,0.8645,0.7669,0.6919,12397,0.6864,0.7219,0.6966,1534,0.6968,0.5531,0.4388,3133
Horace_lucrece,2,86929,4626,Catullus_Catullus_Catul,0.8743,0.7739,0.7334,12397,0.6904,0.7327,0.7164,1534,0.7303,0.5941,0.5249,3133
Ovide,1,90679,4730,Catullus_Catullus_Catul,0.8603,0.8096,0.6238,12397,0.6608,0.719,0.7016,1359,0.6664,0.6029,0.2578,3210
Ovide,2,90679,4730,Catullus_Catullus_Catul,0.8654,0.7858,0.6794,12397,0.674,0.7103,0.7064,1359,0.6782,0.5751,0.3815,3210
Prose,1,243959,13075,Catullus_Catullus_Catul,0.8817,0.7989,0.7384,12397,0.7069,0.7416,0.7147,1518,0.7774,0.6592,0.5495,3180
Prose,2,243959,13075,Catullus_Catullus_Catul,0.8872,0.8077,0.7484,12397,0.6957,0.7305,0.7051,1518,0.7921,0.69,0.5901,3180
Seneque lucilium,1,112818,5983,Catullus_Catullus_Catul,0.8622,0.7777,0.69,12397,0.692,0.7215,0.7036,1448,0.7393,0.607,0.4705,4108
Seneque lucilium,2,112818,5983,Catullus_Catullus_Catul,0.8682,0.7811,0.7107,12397,0.7141,0.7094,0.7025,1448,0.751,0.6283,0.5055,4108
Seneque philo autres,1,111329,6221,Catullus_Catullus_Catul,0.8443,0.728,0.6597,12397,0.6588,0.679,0.6751,1228,0.6886,0.5005,0.4036,3959
Seneque philo autres,2,111329,6221,Catullus_Catullus_Catul,0.8588,0.7548,0.7006,12397,0.6621,0.6538,0.6706,1228,0.7264,0.5829,0.4896,3959
Tacite,1,111431,6121,Catullus_Catullus_Catul,0.8402,0.7084,0.673,12397,0.6162,0.6829,0.6425,1076,0.7126,0.5203,0.4737,4318
Tacite,2,111431,6121,Catullus_Catullus_Catul,0.8513,0.7263,0.6962,12397,0.6264,0.6807,0.6123,1076,0.739,0.5598,0.519,4318
Theatre plaute seneque,1,110172,5399,Catullus_Catullus_Catul,0.8633,0.7681,0.6722,12397,0.6767,0.709,0.7,1534,0.7087,0.568,0.4399,3210
Theatre plaute seneque,2,110172,5399,Catullus_Catullus_Catul,0.8786,0.7869,0.7327,12397,0.7047,0.7276,0.7162,1534,0.733,0.6059,0.5315,3210
Vers,1,246514,13203,Catullus_Catullus_Catul,0.9111,0.8288,0.8145,12397,0.744,0.7495,0.7612,1961,0.7894,0.6779,0.6519,1914
Vers,2,246514,13203,Catullus_Catullus_Catul,0.9198,0.8438,0.8327,12397,0.7731,0.7871,0.7739,1961,0.803,0.6833,0.6789,1914
Virgile,1,82977,4511,Catullus_Catullus_Catul,0.8546,0.7693,0.642,12397,0.6534,0.7028,0.6808,1235,0.6901,0.509,0.3091,3478
Virgile,2,82977,4511,Catullus_Catullus_Catul,0.8716,0.7802,0.7161,12397,0.6745,0.7162,0.6886,1235,0.7205,0.5802,0.4553,3478
Cicero discours,1,370694,20696,Cicero_DeAmicitia_CicAmici,0.9518,0.8817,0.888,8735,0.8518,0.8232,0.8432,1518,0.8283,0.715,0.7266,664
Cicero discours,2,370694,20696,Cicero_DeAmicitia_CicAmici,0.9574,0.9076,0.8898,8735,0.8511,0.8331,0.818,1518,0.863,0.7876,0.7465,664
Ciceron petit,1,110859,5508,Cicero_DeAmicitia_CicAmici,0.9181,0.875,0.7458,8735,0.7675,0.7747,0.7905,1028,0.71,0.4685,0.2565,1355
Ciceron petit,2,110859,5508,Cicero_DeAmicitia_CicAmici,0.92,0.8599,0.7667,8735,0.7656,0.7764,0.7738,1028,0.721,0.5954,0.3342,1355
Corpus divers,1,372877,19525,Cicero_DeAmicitia_CicAmici,0.9392,0.8634,0.851,8735,0.8103,0.8153,0.7923,1676,0.8537,0.7325,0.7107,827
Corpus divers,2,372877,19525,Cicero_DeAmicitia_CicAmici,0.9505,0.8931,0.8766,8735,0.8323,0.8451,0.8002,1676,0.9033,0.8053,0.807,827
Horace_lucrece,1,86929,4626,Cicero_DeAmicitia_CicAmici,0.8713,0.7243,0.7082,8735,0.7319,0.7615,0.7242,1283,0.6793,0.4412,0.4244,1986
Horace_lucrece,2,86929,4626,Cicero_DeAmicitia_CicAmici,0.8807,0.7342,0.7643,8735,0.7537,0.7717,0.7559,1283,0.6883,0.4672,0.5232,1986
Ovide,1,90679,4730,Cicero_DeAmicitia_CicAmici,0.8633,0.7762,0.6133,8735,0.6879,0.7251,0.7057,990,0.6877,0.3733,0.2272,2427
Ovide,2,90679,4730,Cicero_DeAmicitia_CicAmici,0.8677,0.7642,0.6564,8735,0.7091,0.7458,0.7471,990,0.6939,0.4571,0.3192,2427
Prose,1,243959,13075,Cicero_DeAmicitia_CicAmici,0.9352,0.8547,0.8429,8735,0.7734,0.7982,0.7639,1359,0.8428,0.7161,0.6933,935
Prose,2,243959,13075,Cicero_DeAmicitia_CicAmici,0.9428,0.8711,0.8601,8735,0.7734,0.7911,0.7734,1359,0.8738,0.7495,0.7494,935
Seneque lucilium,1,112818,5983,Cicero_DeAmicitia_CicAmici,0.9207,0.8432,0.8019,8735,0.792,0.7947,0.7331,1332,0.7726,0.6213,0.5681,1385
Seneque lucilium,2,112818,5983,Cicero_DeAmicitia_CicAmici,0.9287,0.8616,0.8298,8735,0.7868,0.7924,0.762,1332,0.813,0.7135,0.6391,1385
Seneque philo autres,1,111329,6221,Cicero_DeAmicitia_CicAmici,0.9061,0.7949,0.7784,8735,0.7332,0.7466,0.6921,1128,0.7051,0.499,0.4712,1353
Seneque philo autres,2,111329,6221,Cicero_DeAmicitia_CicAmici,0.925,0.8471,0.8159,8735,0.7491,0.7736,0.754,1128,0.7886,0.6472,0.6076,1353
Tacite,1,111431,6121,Cicero_DeAmicitia_CicAmici,0.8986,0.7744,0.7675,8735,0.6524,0.7096,0.6447,961,0.7421,0.5341,0.5591,1582
Tacite,2,111431,6121,Cicero_DeAmicitia_CicAmici,0.907,0.7912,0.7778,8735,0.6639,0.7239,0.6638,961,0.7851,0.6023,0.6112,1582
Theatre plaute seneque,1,110172,5399,Cicero_DeAmicitia_CicAmici,0.8729,0.7647,0.6532,8735,0.7099,0.7326,0.6769,1196,0.7145,0.4649,0.3431,2112
Theatre plaute seneque,2,110172,5399,Cicero_DeAmicitia_CicAmici,0.8951,0.7934,0.7334,8735,0.7433,0.7569,0.7108,1196,0.7661,0.5847,0.4987,2112
Vers,1,246514,13203,Cicero_DeAmicitia_CicAmici,0.9039,0.797,0.7767,8735,0.7964,0.8146,0.7679,1513,0.7506,0.5435,0.5595,1632
Vers,2,246514,13203,Cicero_DeAmicitia_CicAmici,0.9156,0.8224,0.8135,8735,0.8156,0.8306,0.7985,1513,0.7819,0.6002,0.626,1632
Virgile,1,82977,4511,Cicero_DeAmicitia_CicAmici,0.8395,0.6811,0.6115,8735,0.6681,0.697,0.6883,961,0.6717,0.3536,0.2579,2644
Virgile,2,82977,4511,Cicero_DeAmicitia_CicAmici,0.853,0.7087,0.6611,8735,0.6899,0.731,0.7025,961,0.6918,0.4228,0.3679,2644
Cicero discours,1,370694,20696,Cicero_InCatilinam_CicCat1,0.9677,0.9076,0.9336,3095,0.8689,0.8246,0.9011,473,0.9061,0.7615,0.7283,181
Cicero discours,2,370694,20696,Cicero_InCatilinam_CicCat1,0.97,0.9201,0.9274,3095,0.8795,0.8466,0.8981,473,0.9006,0.7517,0.6554,181
Ciceron petit,1,110859,5508,Cicero_InCatilinam_CicCat1,0.9383,0.8934,0.8106,3095,0.7869,0.8034,0.8299,352,0.7809,0.37,0.2642,429
Ciceron petit,2,110859,5508,Cicero_InCatilinam_CicCat1,0.9425,0.8735,0.8355,3095,0.7869,0.7583,0.8227,352,0.8182,0.5727,0.4381,429
Corpus divers,1,372877,19525,Cicero_InCatilinam_CicCat1,0.9422,0.8576,0.8736,3095,0.7907,0.8135,0.8125,473,0.8585,0.6932,0.6998,325
Corpus divers,2,372877,19525,Cicero_InCatilinam_CicCat1,0.9506,0.8859,0.8909,3095,0.8055,0.8285,0.8283,473,0.8892,0.8145,0.7454,325
Horace_lucrece,1,86929,4626,Cicero_InCatilinam_CicCat1,0.8753,0.7116,0.7121,3095,0.6975,0.7273,0.7246,357,0.7218,0.4395,0.4295,852
