model,layers,train_tokens,dev_tokens,test,All / Accuracy,All / Precision,All / Recall,All / Support,Ambiguous tokens / Accuracy,Ambiguous tokens / Precision,Ambiguous tokens / Recall,Ambiguous tokens / Support,Unknown targets / Accuracy,Unknown targets / Precision,Unknown targets / Recall,Unknown targets / Support,Unknown tokens / Accuracy,Unknown tokens / Precision,Unknown tokens / Recall,Unknown tokens / Support
Cicero discours,1,370694,20696,Caesar_BellumGallicum_CaesBG3,0.9245,0.7604,0.7482,3403,0.8292,0.6864,0.6853,445,0.481,0.3,0.2853,158,0.7159,0.5309,0.5159,440
Cicero discours,2,370694,20696,Caesar_BellumGallicum_CaesBG3,0.9224,0.7578,0.7465,3403,0.8045,0.624,0.6353,445,0.4241,0.2759,0.2586,158,0.7,0.5254,0.5064,440
Ciceron petit,1,110859,5508,Caesar_BellumGallicum_CaesBG3,0.8619,0.595,0.5759,3403,0.7469,0.5859,0.6159,324,0.4045,0.2375,0.2221,309,0.5754,0.3627,0.3438,756
Ciceron petit,2,110859,5508,Caesar_BellumGallicum_CaesBG3,0.8757,0.6358,0.624,3403,0.7407,0.556,0.5962,324,0.4207,0.2493,0.2319,309,0.6257,0.4207,0.4053,756
Corpus divers,1,372877,19525,Caesar_BellumGallicum_CaesBG3,0.9433,0.8348,0.8263,3403,0.8442,0.7346,0.7245,584,0.4479,0.3364,0.3074,96,0.762,0.6302,0.6211,332
Corpus divers,2,372877,19525,Caesar_BellumGallicum_CaesBG3,0.9424,0.8366,0.8273,3403,0.8288,0.6951,0.7014,584,0.5208,0.4059,0.3579,96,0.7771,0.65,0.6311,332
Horace_lucrece,1,86929,4626,Caesar_BellumGallicum_CaesBG3,0.7546,0.4537,0.4149,3403,0.7843,0.5595,0.5703,445,0.3418,0.2088,0.1794,392,0.4525,0.3006,0.264,1158
Horace_lucrece,2,86929,4626,Caesar_BellumGallicum_CaesBG3,0.7781,0.4683,0.4375,3403,0.791,0.5903,0.5926,445,0.2398,0.1369,0.126,392,0.4698,0.294,0.2675,1158
Ovide,1,90679,4730,Caesar_BellumGallicum_CaesBG3,0.7249,0.4325,0.3946,3403,0.6708,0.5161,0.4989,322,0.3339,0.2262,0.1853,584,0.4207,0.2948,0.2577,1317
Ovide,2,90679,4730,Caesar_BellumGallicum_CaesBG3,0.7605,0.485,0.4515,3403,0.6739,0.477,0.4883,322,0.375,0.2289,0.1912,584,0.4882,0.3454,0.311,1317
Prose,1,243959,13075,Caesar_BellumGallicum_CaesBG3,0.9395,0.8148,0.8064,3403,0.7996,0.6501,0.6545,479,0.4839,0.3486,0.3096,93,0.7305,0.5881,0.5708,308
Prose,2,243959,13075,Caesar_BellumGallicum_CaesBG3,0.9545,0.8627,0.8578,3403,0.8288,0.72,0.7215,479,0.6237,0.4444,0.4091,93,0.8182,0.6907,0.6715,308
Seneque lucilium,1,112818,5983,Caesar_BellumGallicum_CaesBG3,0.8237,0.5656,0.5362,3403,0.7439,0.5407,0.5152,371,0.4211,0.2956,0.2648,304,0.5812,0.4146,0.379,948
Seneque lucilium,2,112818,5983,Caesar_BellumGallicum_CaesBG3,0.8293,0.5419,0.5274,3403,0.7385,0.5766,0.5658,371,0.1645,0.1005,0.0886,304,0.557,0.3614,0.3452,948
Seneque philo autres,1,111329,6221,Caesar_BellumGallicum_CaesBG3,0.8448,0.5989,0.5705,3403,0.6751,0.4951,0.4961,357,0.4053,0.2647,0.2333,301,0.6,0.4352,0.3989,850
Seneque philo autres,2,111329,6221,Caesar_BellumGallicum_CaesBG3,0.861,0.6322,0.6125,3403,0.6891,0.5142,0.5218,357,0.4219,0.2625,0.2414,301,0.6506,0.471,0.4491,850
Tacite,1,111431,6121,Caesar_BellumGallicum_CaesBG3,0.8948,0.6943,0.6761,3403,0.7168,0.5926,0.5767,346,0.4171,0.2933,0.2626,187,0.6769,0.5205,0.4908,619
Tacite,2,111431,6121,Caesar_BellumGallicum_CaesBG3,0.9136,0.7764,0.7602,3403,0.6879,0.58,0.5638,346,0.5775,0.4322,0.4051,187,0.7722,0.6361,0.6093,619
Theatre plaute seneque,1,110172,5399,Caesar_BellumGallicum_CaesBG3,0.784,0.4883,0.4542,3403,0.7885,0.606,0.598,468,0.3612,0.2386,0.2077,407,0.5331,0.3566,0.3206,1148
Theatre plaute seneque,2,110172,5399,Caesar_BellumGallicum_CaesBG3,0.8149,0.5277,0.4981,3403,0.7821,0.5845,0.6095,468,0.4521,0.2673,0.2367,407,0.588,0.3918,0.3576,1148
Vers,1,246514,13203,Caesar_BellumGallicum_CaesBG3,0.8451,0.6159,0.5866,3403,0.8118,0.6618,0.6539,542,0.4938,0.3061,0.2672,322,0.6149,0.4453,0.4116,953
Vers,2,246514,13203,Caesar_BellumGallicum_CaesBG3,0.8566,0.6587,0.6342,3403,0.7731,0.5963,0.581,542,0.5124,0.3239,0.29,322,0.6726,0.5153,0.4883,953
Virgile,1,82977,4511,Caesar_BellumGallicum_CaesBG3,0.7376,0.4261,0.3921,3403,0.6355,0.4057,0.4085,299,0.3436,0.2137,0.1824,518,0.4448,0.2813,0.2447,1259
Virgile,2,82977,4511,Caesar_BellumGallicum_CaesBG3,0.7693,0.5032,0.4694,3403,0.6756,0.4766,0.4694,299,0.4363,0.279,0.2485,518,0.5155,0.3641,0.332,1259
Cicero discours,1,370694,20696,Catullus_Catullus_Catul,0.8097,0.5046,0.4741,12397,0.7664,0.4882,0.4926,1314,0.4246,0.2825,0.2549,1731,0.5079,0.3567,0.3281,3485
Cicero discours,2,370694,20696,Catullus_Catullus_Catul,0.8244,0.531,0.5054,12397,0.7839,0.4949,0.4994,1314,0.4321,0.2843,0.261,1731,0.5403,0.3831,0.3565,3485
Ciceron petit,1,110859,5508,Catullus_Catullus_Catul,0.7311,0.3719,0.3339,12397,0.7107,0.4548,0.4522,909,0.3606,0.2266,0.1945,2571,0.4113,0.2648,0.229,4607
Ciceron petit,2,110859,5508,Catullus_Catullus_Catul,0.7579,0.4153,0.3816,12397,0.7261,0.4351,0.4382,909,0.3858,0.2498,0.219,2571,0.4613,0.3088,0.2748,4607
Corpus divers,1,372877,19525,Catullus_Catullus_Catul,0.9006,0.691,0.6758,12397,0.8174,0.555,0.551,2125,0.5325,0.3806,0.3645,539,0.6467,0.4997,0.4817,1636
Corpus divers,2,372877,19525,Catullus_Catullus_Catul,0.9093,0.7138,0.7009,12397,0.8329,0.5707,0.5773,2125,0.5399,0.3561,0.3467,539,0.6638,0.5064,0.4916,1636
Horace_lucrece,1,86929,4626,Catullus_Catullus_Catul,0.8116,0.4824,0.4471,12397,0.8179,0.5073,0.501,1691,0.4439,0.2791,0.2589,1140,0.4995,0.3305,0.3002,3133
Horace_lucrece,2,86929,4626,Catullus_Catullus_Catul,0.8244,0.4949,0.4694,12397,0.8084,0.5013,0.4995,1691,0.2939,0.1604,0.1493,1140,0.4864,0.3154,0.2904,3133
Ovide,1,90679,4730,Catullus_Catullus_Catul,0.8036,0.4551,0.423,12397,0.7288,0.4662,0.4589,1180,0.3641,0.2355,0.2149,1420,0.4396,0.295,0.2689,3210
Ovide,2,90679,4730,Catullus_Catullus_Catul,0.8302,0.5065,0.4822,12397,0.7432,0.5385,0.5316,1180,0.3972,0.2537,0.2359,1420,0.4988,0.3389,0.3165,3210
