model,layers,train_tokens,dev_tokens,test,All / Accuracy,All / Precision,All / Recall,All / Support,Ambiguous tokens / Accuracy,Ambiguous tokens / Precision,Ambiguous tokens / Recall,Ambiguous tokens / Support,Unknown tokens / Accuracy,Unknown tokens / Precision,Unknown tokens / Recall,Unknown tokens / Support
Cicero discours,1,370694,20696,Caesar_BellumGallicum_CaesBG3,0.943,0.8226,0.8192,3403,0.8827,0.7525,0.7647,716,0.8568,0.5389,0.4482,440
Cicero discours,2,370694,20696,Caesar_BellumGallicum_CaesBG3,0.943,0.8311,0.8222,3403,0.8575,0.6951,0.7144,716,0.8795,0.5064,0.4936,440
Ciceron petit,1,110859,5508,Caesar_BellumGallicum_CaesBG3,0.8974,0.8061,0.7908,3403,0.8211,0.6328,0.6856,598,0.7275,0.2754,0.2736,756
Ciceron petit,2,110859,5508,Caesar_BellumGallicum_CaesBG3,0.9139,0.7953,0.7924,3403,0.8278,0.6885,0.716,598,0.791,0.2982,0.2962,756
Corpus divers,1,372877,19525,Caesar_BellumGallicum_CaesBG3,0.9583,0.8934,0.8699,3403,0.8688,0.8289,0.7665,800,0.9307,0.6172,0.5102,332
Corpus divers,2,372877,19525,Caesar_BellumGallicum_CaesBG3,0.9586,0.8835,0.8736,3403,0.8688,0.7802,0.7847,800,0.9307,0.7262,0.6664,332
Horace_lucrece,1,86929,4626,Caesar_BellumGallicum_CaesBG3,0.8113,0.7179,0.6835,3403,0.7924,0.6744,0.6705,607,0.5984,0.1048,0.1104,1158
Horace_lucrece,2,86929,4626,Caesar_BellumGallicum_CaesBG3,0.8225,0.6551,0.652,3403,0.7611,0.618,0.6115,607,0.6356,0.2519,0.1793,1158
Ovide,1,90679,4730,Caesar_BellumGallicum_CaesBG3,0.7823,0.6516,0.5972,3403,0.7234,0.519,0.5702,488,0.5839,0.1461,0.112,1317
Ovide,2,90679,4730,Caesar_BellumGallicum_CaesBG3,0.8078,0.7173,0.6833,3403,0.7459,0.5396,0.5956,488,0.634,0.2579,0.1491,1317
Prose,1,243959,13075,Caesar_BellumGallicum_CaesBG3,0.9577,0.8052,0.7883,3403,0.8781,0.7678,0.7815,755,0.9058,0.4276,0.4405,308
Prose,2,243959,13075,Caesar_BellumGallicum_CaesBG3,0.9612,0.8156,0.7856,3403,0.8755,0.7726,0.7616,755,0.9286,0.6219,0.4799,308
Seneque lucilium,1,112818,5983,Caesar_BellumGallicum_CaesBG3,0.871,0.7069,0.6516,3403,0.8037,0.6833,0.686,535,0.7236,0.1554,0.1639,948
Seneque lucilium,2,112818,5983,Caesar_BellumGallicum_CaesBG3,0.8895,0.7713,0.7252,3403,0.8262,0.7477,0.757,535,0.7532,0.2724,0.232,948
Seneque philo autres,1,111329,6221,Caesar_BellumGallicum_CaesBG3,0.8592,0.6783,0.6338,3403,0.7706,0.6224,0.623,558,0.6682,0.1573,0.1653,850
